Iteracao,Particula,X0,X1
1,1,-3.398590,-1.549209
1,2,-5.120000,0.746958
1,3,-0.696625,-4.078846
1,4,-2.969595,-0.262988
1,5,-4.144558,0.013924
1,6,-4.743343,0.922753
1,7,-1.882297,0.452067
1,8,1.047561,2.059256
1,9,0.514383,3.155965
1,10,-1.832293,4.176732
1,11,-0.184349,-5.120000
1,12,0.522332,-1.571488
1,13,2.559599,2.965572
1,14,-0.235274,1.429559
1,15,-3.279747,3.218460
1,16,-2.724524,-2.664378
1,17,0.703087,-2.496529
1,18,0.123223,4.497198
1,19,-2.957730,-1.752700
1,20,0.031478,-1.857308
1,21,5.120000,-0.423573
1,22,-3.191869,-1.775676
1,23,4.474375,2.710775
1,24,3.045095,5.120000
1,25,0.198781,-0.186934
1,26,-2.526520,1.056183
1,27,3.412468,-4.697424
1,28,2.208363,5.120000
1,29,4.136099,0.200054
1,30,5.120000,-2.561658
2,1,1.721410,2.091463
2,2,0.000000,0.292465
2,3,2.756805,1.041154
2,4,2.150405,4.293181
2,5,-3.121623,-1.574686
2,6,0.376657,-3.577943
2,7,-3.064639,5.120000
2,8,5.120000,2.137243
2,9,2.644844,-0.032020
2,10,-2.629166,4.685307
2,11,-1.726313,0.000000
2,12,5.120000,-1.799368
2,13,0.029276,4.628994
2,14,4.884726,1.751569
2,15,0.939460,3.781045
2,16,-1.967980,0.315015
2,17,5.120000,2.623471
2,18,-3.448557,0.724561
2,19,-4.036384,-2.108501
2,20,5.120000,0.195883
2,21,0.000000,1.110930
2,22,1.928131,0.288873
2,23,-0.645625,-0.475426
2,24,-2.074905,0.000000
2,25,4.716121,-3.494141
2,26,-1.886153,0.948787
2,27,-1.707532,-3.661240
2,28,1.341686,0.000000
2,29,1.255653,0.134761
2,30,0.000000,2.558342
3,1,5.120000,5.117796
3,2,4.556800,0.819543
3,3,3.750684,5.120000
3,4,5.120000,1.012659
3,5,1.998377,3.545314
3,6,3.344508,-0.312858
3,7,-0.098423,0.086305
3,8,0.000000,-1.103099
3,9,-2.475156,-5.120000
3,10,-0.068065,-0.434693
3,11,-0.181471,2.767098
3,12,0.000000,-0.700776
3,13,-5.090724,-0.491006
3,14,-0.235274,-3.368431
3,15,4.185605,0.761520
3,16,2.320256,2.796874
3,17,0.000000,-2.496529
3,18,-0.219696,-4.395439
3,19,1.083616,-1.289301
3,20,0.000000,0.973328
3,21,-4.556800,2.348861
3,22,4.309711,3.097950
