Iteracao,Particula,X0,X1
1,1,-3.398590,0.526479
1,2,-5.120000,-0.923123
1,3,-0.459124,-3.203352
1,4,-4.339840,2.902481
1,5,-4.185313,-1.903233
1,6,-5.120000,0.922753
1,7,-1.882297,0.452067
1,8,1.513075,1.995124
1,9,-3.193116,3.155965
1,10,-1.832293,3.794337
1,11,-2.576805,-5.120000
1,12,0.522332,-2.975420
1,13,1.821978,2.965572
1,14,-2.744582,1.139000
1,15,-3.497067,-0.235491
1,16,-5.120000,-2.390013
1,17,0.703087,-1.077245
1,18,0.123223,4.497198
1,19,-5.120000,-1.752700
1,20,0.031478,-3.541574
1,21,3.403779,-0.371229
1,22,-3.925954,-0.917814
1,23,-2.983512,1.539536
1,24,1.678388,3.054936
1,25,0.198781,-0.433370
1,26,-2.962432,1.056183
1,27,0.071181,-3.368175
1,28,0.572640,5.120000
1,29,3.307310,-0.865265
1,30,3.258073,-3.550848
2,1,1.721410,-1.324488
2,2,0.000000,-1.228624
2,3,0.108803,1.916648
2,4,0.780160,-2.217519
2,5,0.934687,3.216767
2,6,0.000000,-4.197247
2,7,-1.843411,5.120000
2,8,2.296521,1.706623
2,9,1.926884,-1.964035
2,10,-1.311606,1.715759
2,11,-3.238681,0.000000
2,12,4.040019,-0.498135
2,13,5.061950,4.012900
2,14,2.375418,1.202166
2,15,1.622933,-0.762754
2,16,0.000000,2.729987
2,17,4.812817,4.042755
2,18,-4.996777,-0.622802
2,19,0.000000,3.367300
2,20,4.821782,1.578426
2,21,-1.716221,2.478034
2,22,1.194046,3.023936
2,23,2.136488,4.113871
2,24,-3.441612,2.753755
2,25,4.722283,-1.196565
2,26,2.157568,5.120000
2,27,1.770673,-1.142272
2,28,-0.413323,0.000000
2,29,-1.812690,4.254735
2,30,-1.861927,1.569152
3,1,4.184405,-1.557991
3,2,4.829032,3.891376
3,3,0.614259,5.120000
3,4,5.006896,-3.807252
3,5,2.463373,3.479108
3,6,4.817170,0.922753
3,7,2.397015,0.000000
3,8,0.130038,2.722850
3,9,1.248342,3.155965
3,10,-0.700184,3.916947
3,11,1.881319,5.120000
3,12,-1.079981,2.828920
3,13,-0.058050,-1.107100
3,14,-2.744582,-3.917834
3,15,4.358396,-1.728390
3,16,4.343539,5.120000
3,17,-0.307183,-1.077245
3,18,0.123223,-5.120000
3,19,4.331937,-1.752700
3,20,-0.298218,1.340260
3,21,-5.120000,-1.644474
3,22,2.925743,-2.096064
3,23,-2.036142,-1.006129
3,24,-4.498219,-2.366245
3,25,-0.397717,1.181136
3,26,-1.801103,0.000000
3,27,-2.778143,0.956664
3,28,-5.120000,-5.120000
3,29,0.884330,-0.865265
3,30,-3.144411,3.099395
4,1,0.366873,-1.461347
4,2,-0.290968,-1.228624
4,3,-0.737301,0.000000
4,4,-0.113104,1.312748
4,5,-0.759168,-1.640892
4,6,4.179427,-4.197247
4,7,0.224403,-5.120000
4,8,-2.407005,-2.397150
4,9,-2.360422,-1.964035
4,10,0.359444,-1.203053
4,11,-3.238681,0.000000
4,12,-3.669376,0.628469
4,13,-4.589250,-5.120000
4,14,-5.120000,-2.432748
4,15,-0.761604,1.040658
4,16,-0.194969,0.000000
4,17,-4.513079,-5.120000
4,18,4.029997,0.000000
4,19,-0.788063,-4.393239
4,20,-4.544202,-1.507196
4,21,0.000000,-0.856010
4,22,-2.194257,-5.120000
4,23,-0.004549,-5.120000
4,24,0.621781,-0.122483
4,25,-4.532740,2.292865
4,26,0.645007,-5.120000
4,27,2.341857,-3.525787
4,28,0.000000,0.000000
4,29,2.932792,-2.335782
4,30,1.975589,-0.696094
5,1,0.217776,-0.452058
5,2,-3.105875,-3.691521
5,3,-0.584308,-3.143942
5,4,-4.127742,0.937183
5,5,2.446096,3.479108
5,6,-0.940573,-0.959730
5,7,1.688517,0.000000
5,8,2.712995,2.722850
5,9,-2.558276,-3.222103
5,10,0.835413,-2.075241
5,11,-5.120000,-4.505600
5,12,1.450624,-0.964327
5,13,0.530750,0.000000
5,14,0.000000,2.687252
5,15,-3.130963,3.443173
5,16,-3.450693,-4.505600
5,17,-2.033323,0.000000
5,18,-1.090003,4.505600
5,19,-2.793908,0.726761
5,20,-0.386405,3.612804
5,21,4.505600,0.138775
5,22,2.925743,0.000000
5,23,-4.716534,0.000000
5,24,-4.053740,3.055538
5,25,0.253604,-2.827135
5,26,-4.474993,0.000000
5,27,-0.961790,1.594213
5,28,4.505600,4.505600
5,29,-2.187208,-0.888495
5,30,1.322550,-3.763288
6,1,-0.535094,1.737458
6,2,2.014125,1.428479
6,3,2.528291,1.976058
6,4,0.992258,-0.022965
6,5,-2.673904,-0.534670
6,6,-4.248889,3.070699
6,7,-0.571031,4.480000
6,8,0.185708,-1.208834
6,9,2.561724,1.897897
6,10,0.470264,1.379272
6,11,0.000000,0.614400
6,12,1.644720,1.948943
6,13,3.103359,1.296445
6,14,4.480000,-0.349579
6,15,1.989037,-1.676827
6,16,1.669307,0.614400
6,17,3.086677,4.480000
6,18,-0.126340,2.241450
6,19,1.340981,3.257771
6,20,4.733595,2.750008
6,21,-0.614400,-0.375006
6,22,2.996645,4.480000
6,23,-1.605426,1.050244
6,24,-0.073520,-2.064462
6,25,4.396624,-3.317308
6,26,0.645007,4.480000
6,27,4.158210,-2.112305
6,28,-0.614400,-0.614400
6,29,0.868815,0.611907
6,30,-2.426379,1.356712
7,1,1.531385,-3.382542
7,2,-3.105875,-3.691521
7,3,-2.591709,3.116645
7,4,1.779489,-0.802874
7,5,2.446096,4.053222
7,6,0.871111,-2.049301
7,7,4.548969,-0.640000
7,8,-2.593294,-3.459719
