Iteracao,Particula,X0,X1
1,1,-3.398590,-2.587053
1,2,-5.120000,1.581998
1,3,-0.815376,-4.516593
1,4,-2.284473,-1.845722
1,5,-4.124180,1.971068
1,6,-4.499317,0.922753
1,7,0.708873,0.452067
1,8,0.592147,2.091322
1,9,-5.120000,1.031788
1,10,-1.832293,3.332364
1,11,-1.089210,-5.120000
1,12,-1.014521,-2.432571
1,13,0.418218,0.863089
1,14,-5.120000,1.197759
1,15,-4.874593,2.415620
1,16,-5.120000,-3.240528
1,17,-0.148751,-3.812655
1,18,-0.667922,0.925603
1,19,-5.120000,-1.752700
1,20,-5.120000,-3.324178
1,21,5.120000,-1.252538
1,22,-3.925954,-3.681926
1,23,0.790186,-0.052917
1,24,1.678388,3.054936
1,25,0.198781,0.736779
1,26,-2.962432,-0.513446
1,27,0.645622,-5.120000
1,28,-1.406997,4.770116
1,29,4.060584,-0.020655
1,30,4.600034,-3.017932
2,1,-2.842657,-0.351880
2,2,0.000000,1.409897
2,3,-1.110352,-0.726370
2,4,-2.863161,0.449871
2,5,-5.120000,0.517879
2,6,-2.278442,0.944282
2,7,-3.169697,5.120000
2,8,2.546532,1.013346
2,9,0.000000,1.455115
2,10,-5.120000,4.312463
2,11,-4.699950,-0.389252
2,12,1.509852,-4.699676
2,13,2.835866,3.584930
2,14,0.000000,1.266643
2,15,-3.978642,2.357881
2,16,0.000000,-2.403783
2,17,3.288258,-0.225577
2,18,2.705191,2.295671
2,19,0.000000,-0.823525
2,20,-0.232742,-4.058124
2,21,0.000000,-1.884328
2,22,-2.549758,-3.590302
2,23,1.481362,-2.209649
2,24,1.711702,2.862977
2,25,4.748651,-3.863281
2,26,-4.712295,0.602821
2,27,2.290316,-2.602637
2,28,0.777452,0.736704
2,29,3.221553,-3.774446
2,30,1.735231,-3.226745
3,1,-1.425151,1.470303
3,2,4.556800,-0.618013
3,3,-0.954068,2.213983
3,4,-3.044007,1.352787
3,5,0.000000,-1.557188
3,6,1.061232,-1.277764
3,7,-3.777473,0.454302
3,8,2.773935,-1.653959
3,9,4.556800,-0.429625
3,10,0.000000,-0.532805
3,11,-1.071364,-1.845910
3,12,1.948924,-2.277780
