Iteracao,Particula,X0,X1
1,1,-3.398590,-2.587053
1,2,-5.120000,1.581998
1,3,-0.815376,-4.516593
1,4,-2.284473,-1.845722
1,5,-4.124180,1.971068
1,6,-4.499317,0.922753
1,7,0.708873,0.452067
1,8,0.592147,2.091322
1,9,-5.120000,1.031788
1,10,-1.832293,3.332364
1,11,-1.089210,-5.120000
1,12,-1.014521,-2.432571
1,13,0.418218,0.863089
1,14,-5.120000,1.197759
1,15,-4.874593,2.415620
1,16,-5.120000,-3.240528
1,17,-0.148751,-3.812655
1,18,-0.667922,0.925603
1,19,-5.120000,-1.752700
1,20,-5.120000,-3.324178
1,21,5.120000,-1.252538
1,22,-3.925954,-3.681926
1,23,0.790186,-0.052917
1,24,1.678388,3.054936
1,25,0.198781,0.736779
1,26,-2.962432,-0.513446
1,27,0.645622,-5.120000
1,28,-1.406997,4.770116
1,29,4.060584,-0.020655
1,30,4.600034,-3.017932
2,1,-5.120000,0.106620
2,2,-1.189684,0.694428
2,3,1.053672,-1.056451
2,4,-2.334704,-1.652114
2,5,-5.120000,-0.089637
2,6,-2.692082,5.120000
2,7,-1.354363,3.690686
2,8,4.662454,-0.901486
2,9,0.000000,3.648591
2,10,-4.517913,2.979789
2,11,-3.558154,-0.814181
2,12,3.523640,-5.120000
2,13,3.147349,1.946465
2,14,0.000000,1.310019
2,15,-3.039701,2.048352
2,16,-0.862414,-4.511395
2,17,3.910344,-1.494412
2,18,3.819691,1.476412
2,19,0.000000,-5.120000
2,20,0.000000,-5.120000
2,21,0.000000,-1.956853
2,22,-4.460038,-4.978209
2,23,2.273263,-1.390208
2,24,4.500686,3.294773
2,25,4.921080,-3.526918
2,26,-3.717377,2.496365
2,27,3.043297,-2.523550
2,28,1.900634,3.635973
2,29,3.749188,-2.990252
2,30,5.120000,-5.120000
3,1,0.000000,2.377149
3,2,3.711545,-1.091932
3,3,2.717124,2.023076
3,4,-2.362230,-1.466866
3,5,0.000000,-2.722042
3,6,1.157285,0.000000
3,7,-1.879851,5.120000
3,8,5.120000,-3.686998
3,9,5.120000,2.791249
3,10,-4.945603,-0.800028
3,11,-1.858894,2.821465
3,12,5.120000,0.000000
3,13,5.120000,0.008902
